Country Name,Country Code,Region,Income group,Year,Energy use (kg of oil equivalents per capita), Population ,CO2 emissions (metric tons per capita),Renewable energy consumption (% of energy),"GDP per capita, PPP",Electric power consumption (kWh per capita),Access to electricity (% of population),Forest area (% of land)
Romania,ROU,Europe & Central Asia,Upper middle income,1990,2683.178895," 23,201,835 ",7.503163349,3.355765883,5262.409289,2924.596266,100,27.77850447
Moldova,MDA,Europe & Central Asia,Lower middle income,1990,2676.53869," 3,696,000 ",,1.140957938,,3235.38961,94.91943359,9.704898083
Serbia,SRB,Europe & Central Asia,Upper middle income,1990,2598.79304," 7,586,000 ",,15.49165266,,4628.658054,99.27126312,28.31008461
Georgia,GEO,Europe & Central Asia,Lower middle income,1990,2585.263224," 4,802,000 ",,12.77399758,5160.588168,3039.150354,97.33401489,39.60282055
Italy,ITA,Europe & Central Asia,High income,1990,2583.888077," 56,719,240 ",7.361704582,3.781463481,18557.10598,4144.907442,100,25.80667097
"Bahamas, The",BHS,Latin America & Caribbean,High income,1990,2517.466696," 256,336 ",7.6104956,0,20031.13314,,90.79119873,51.44855145
Libya,LBY,Middle East & North Africa,Upper middle income,1990,2517.101938," 4,436,661 ",8.290020355,3.129308451,,1576.861518,99.83592987,0.123327688
Israel,ISR,Middle East & North Africa,High income,1990,2460.465451," 4,660,000 ",7.788833906,5.800245158,15048.46573,4176.180258,100,6.099815157
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,1990,2421.586599," 37,560,525 ",8.341332103,16.62782171,6269.359382,4152.977095,59.33794022,7.617736524
Oman,OMN,Middle East & North Africa,High income,1990,2328.297722," 1,812,160 ",6.283128973,0,22648.88883,2186.89299,,0.006462036
Spain,ESP,Europe & Central Asia,High income,1990,2317.476774," 38,867,322 ",5.624190007,10.54443118,13634.44232,3536.749972,100,27.64994841
Uzbekistan,UZB,Europe & Central Asia,Lower middle income,1990,2260.766943," 20,510,000 ",,1.329744598,1984.903407,2383.227694,98.41362,7.15796897
Armenia,ARM,Europe & Central Asia,Upper middle income,1990,2178.547354," 3,538,165 ",,2.118944341,2418.860926,2722.597731,97.68037415,11.76677204
"Korea, Rep.",KOR,East Asia & Pacific,High income,1990,2167.339608," 42,869,283 ",5.760374252,1.631946867,8276.034959,2373.214406,,66.03773585
Greece,GRC,Europe & Central Asia,High income,1990,2102.677685," 10,196,792 ",7.284521642,7.806882299,13297.97768,3221.40532,100,25.59348332
"Venezuela, RB",VEN,Latin America & Caribbean,Upper middle income,1990,1993.133003," 19,861,956 ",6.150574395,11.97733019,9339.95443,2449.05386,97.3895874,58.98305085
Croatia,HRV,Europe & Central Asia,High income,1990,1980.098326," 4,780,000 ",,21.92317971,,2964.644351,100,33.08889286
Gibraltar,GIB,Europe & Central Asia,High income,1990,1972.87752," 29,164 ",4.9037512,0,,2537.374846,100,0
Malta,MLT,Middle East & North Africa,High income,1990,1961.642714," 354,170 ",6.098379309,0,9343.993672,2823.502838,100,1.093749981
Cyprus,CYP,Europe & Central Asia,High income,1990,1780.703196," 766,614 ",5.706562886,0.495929367,13178.99547,2430.166942,100,17.43614725
Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income,1990,1704.814629," 4,391,200 ",,7.927699743,2245.792715,2330.570231,99.17418671,4.358706986
Portugal,PRT,Europe & Central Asia,High income,1990,1680.962391," 9,983,218 ",4.239198924,26.94447493,11769.02249,2541.865759,100,37.55191257
Cuba,CUB,Latin America & Caribbean,Upper middle income,1990,1645.064142," 10,582,081 ",3.150989961,42.8902011,,1214.033421,92.52192688,19.16201117
"Korea, Dem. People’s Rep.",PRK,East Asia & Pacific,Low income,1990,1637.113862," 20,293,054 ",,7.189592068,,1237.418478,0.01,68.10896105
